4K-8K,#genre#
超喜剧地下交通站男神贾贵,https://www.goodiptv.club/yy/1353428972
李连杰功夫 经典武侠,https://www.goodiptv.club/yy/74613175
(周星驰)超经典搞笑电影,https://www.goodiptv.club/yy/29945997
经典港片 3000部,https://www.goodiptv.club/yy/1353059120
66车讯,https://www.goodiptv.club/yy/1382571192
知否知否应是绿肥红瘦,https://www.goodiptv.club/yy/21881901
【战狼3吴京】独播,https://www.goodiptv.club/yy/37999586
倚天屠龙记,https://www.goodiptv.club/yy/1449856066
宋小宝小品合集,https://www.goodiptv.club/yy/1354931577
国内侦探电影大全,https://www.goodiptv.club/yy/1354936134
正阳门下,https://www.goodiptv.club/yy/1354931580
动作武侠港片电影,https://www.goodiptv.club/yy/1459801818
宰相刘罗锅,https://www.goodiptv.club/yy/1382745191
火蓝刀锋,https://www.goodiptv.club/yy/1382737892
鹿鼎记-周星驰版,https://www.goodiptv.club/yy/1354658049
丸子,https://www.goodiptv.club/yy/1382851588
倚天屠龙记,https://www.goodiptv.club/yy/1354755003
抗战经典,https://www.goodiptv.club/yy/1382824983
天龙八部,https://www.goodiptv.club/yy/1351814644
【战狼4】吴京老师,https://www.goodiptv.club/yy/1354784284
地下交通站,https://www.goodiptv.club/yy/1382736795
恐怖电影,https://www.goodiptv.club/yy/24066336
【少年歌行】,https://www.goodiptv.club/yy/1354806550
摸金 盗暮,https://www.goodiptv.club/yy/1459714870
【动漫】斗罗斗破,https://www.goodiptv.club/yy/1353098382
二号交通站,https://www.goodiptv.club/yy/1382735582
笑傲江湖,https://www.goodiptv.club/yy/1354930909
小甜甜 闯关东,https://www.goodiptv.club/yy/1382658790
二龙湖浩哥【经典搞笑】,https://www.goodiptv.club/yy/28205255
纪晓岚,https://www.goodiptv.club/yy/1382781415
林正英经典,https://www.goodiptv.club/yy/1353312849
赵本山《超清版》,https://www.goodiptv.club/yy/1382683959
【成龙经典】动作,https://www.goodiptv.club/yy/34460526
港片赌片 3000部,https://www.goodiptv.club/yy/1355076627
超级吓人鬼片 恐怖片,https://www.goodiptv.club/yy/1355641195
天龙神雕经典回忆,https://www.goodiptv.club/yy/68260522
薛元帅传奇,https://www.goodiptv.club/yy/31313785
笑傲江湖 4K超清,https://www.goodiptv.club/yy/1354282410
喜欢的小哥哥点点关注,https://www.goodiptv.club/yy/98544634
狄仁杰等你哦,https://www.goodiptv.club/yy/1457579747
港片鬼片全集,https://www.goodiptv.club/yy/1459869766
好先生,https://www.goodiptv.club/yy/79382500
神探狄仁杰,https://www.goodiptv.club/yy/38338029
【港台】鬼片 惊悚 喜剧,https://www.goodiptv.club/yy/1351030377
燕双鹰专场,https://www.goodiptv.club/yy/23026835
战狼4 吴京首播,https://www.goodiptv.club/yy/1354784966
新三国,https://www.goodiptv.club/yy/26744898
军旅电视剧,https://www.goodiptv.club/yy/1352575322
【新三国】萌儿陪看,https://www.goodiptv.club/yy/29216766
【新三国】蓝光版,https://www.goodiptv.club/yy/1382705738
港片 恐怖片 鬼片,https://www.goodiptv.club/yy/1353850051
燕双鹰,https://www.goodiptv.club/yy/1354143942
进来 陪你看动漫,https://www.goodiptv.club/yy/1352866135
【金超群】电视剧,https://www.goodiptv.club/yy/1356158015
24H国漫热播,https://www.goodiptv.club/yy/1353937086
热度榜1.包青天,https://www.goodiptv.club/yy/22701868
德爷单挑荒野,https://www.goodiptv.club/yy/27772604
盗暮 老九门,https://www.goodiptv.club/yy/1382763739
荒野求生德爷,https://www.goodiptv.club/yy/36949900
电影 古惑仔全集,https://www.goodiptv.club/yy/1354507447
我和僵尸有个约会,https://www.goodiptv.club/yy/1354143966
雪中悍刀行,https://www.goodiptv.club/yy/1382660835
斗破苍穹斗罗大玄幻修仙剧,https://www.goodiptv.club/yy/1356051105
燕双鹰,https://www.goodiptv.club/yy/1352227153
皮蛋影视 正在直播,https://www.goodiptv.club/yy/23055599
狂飙,https://www.goodiptv.club/yy/1355142167
特一营,https://www.goodiptv.club/yy/1507704566
少年包青天,https://www.goodiptv.club/yy/1356043677
鹊刀门传奇,https://www.goodiptv.club/yy/1382745997
案发现场（1-3）,https://www.goodiptv.club/yy/31368110
新水浒传,https://www.goodiptv.club/yy/1353215589
神雕侠侣,https://www.goodiptv.club/yy/1351762426
武林外传,https://www.goodiptv.club/yy/1353852605
精彩动漫斗罗斗破,https://www.goodiptv.club/yy/76101626
【港片】赌片 动作,https://www.goodiptv.club/yy/24921161
封神榜,https://www.goodiptv.club/yy/1382797534
康熙微服私访记,https://www.goodiptv.club/yy/1352811698
奇缘39262港台影院,https://www.goodiptv.club/yy/1354889234
新白娘子传奇,https://www.goodiptv.club/yy/1354490667
狂飙,https://www.goodiptv.club/yy/1382764587
花千骨,https://www.goodiptv.club/yy/1354943110
雪中悍刀行,https://www.goodiptv.club/yy/59719179
神探狄仁杰,https://www.goodiptv.club/yy/1351755386
小宝 天龙 神雕金庸,https://www.goodiptv.club/yy/1356043609
电影电影,https://www.goodiptv.club/yy/1458819360
斗罗斗破动漫,https://www.goodiptv.club/yy/1420843376
新主播，求照顾,https://www.goodiptv.club/yy/29197808
【胡歌好剧】 ~,https://www.goodiptv.club/yy/29067083
林正英全集,https://www.goodiptv.club/yy/1335509613
神医喜来乐,https://www.goodiptv.club/yy/1382714119
24【动漫】正在直播,https://www.goodiptv.club/yy/1350984033
【破案 悬疑 港剧】,https://www.goodiptv.club/yy/1382800083
泡芙陪你看电影,https://www.goodiptv.club/yy/24407222
雍正王朝,https://www.goodiptv.club/yy/23206872
经典动漫,https://www.goodiptv.club/yy/22777075
林正英 僵尸 鬼片,https://www.goodiptv.club/yy/1351505899
交友林正英女鬼电影,https://www.goodiptv.club/yy/1453996620
弹幕天团 下饭神剧,https://www.goodiptv.club/yy/23512910
雍正王朝,https://www.goodiptv.club/yy/1356043620
港片经典电影,https://www.goodiptv.club/yy/32326398
布丁-玄幻电影正在直播,https://www.goodiptv.club/yy/1455460998
鬼经典老片,https://www.goodiptv.club/yy/1463783198
狂飙老莫请你吃鱼,https://www.goodiptv.club/yy/1382881866
孙红雷高清频道,https://www.goodiptv.club/yy/1351059494
国漫 一起看正在直播,https://www.goodiptv.club/yy/1351417866
鬼片恐怖私人影院,https://www.goodiptv.club/yy/1354952229
鬼片 恐怖片,https://www.goodiptv.club/yy/1455891197
我的兄弟叫顺溜,https://www.goodiptv.club/yy/1459331991
你不知道的汽车冷知识,https://www.goodiptv.club/yy/1346966327
大家车言论,https://www.goodiptv.club/yy/1382570702
鬼怪恐怖惊辣,https://www.goodiptv.club/yy/1382748585
动漫,https://www.goodiptv.club/yy/23993334
特种兵系列,https://www.goodiptv.club/yy/1508456184
破案TVB港剧,https://www.goodiptv.club/yy/1354932707
雪中悍刀行,https://www.goodiptv.club/yy/1462996362
真实案件系列,https://www.goodiptv.club/yy/1382671124
【赌神片 动作片 港片】,https://www.goodiptv.club/yy/1355112116
【林正英】僵尸 鬼片,https://www.goodiptv.club/yy/30668277
鸡毛飞上天,https://www.goodiptv.club/yy/1461033197
武侠港片电影,https://www.goodiptv.club/yy/1451866697
雪中悍刀行,https://www.goodiptv.club/yy/1460836818
情满四合院-高分电视剧,https://www.goodiptv.club/yy/1382735541
惊恐盗暮鬼怪,https://www.goodiptv.club/yy/1382749525
神探狄仁杰2,https://www.goodiptv.club/yy/1382828767
澳门风云,https://www.goodiptv.club/yy/1459243913
西游记后传,https://www.goodiptv.club/yy/1382736846
欢乐集结号-每天笑不停,https://www.goodiptv.club/yy/1382741642
新白娘子传奇-女神赵雅芝,https://www.goodiptv.club/yy/1354930969
初恋脸,https://www.goodiptv.club/yy/1382851597
星爷经典-百看不厌,https://www.goodiptv.club/yy/1382736808
敢死队-精彩动作电影,https://www.goodiptv.club/yy/1382735573
杭小妞,https://www.goodiptv.club/yy/1382851590
电影百团大战,https://www.goodiptv.club/yy/1382736871
少年包青天第三部,https://www.goodiptv.club/yy/1382736814
情满四合院,https://www.goodiptv.club/yy/1382851524
贾玲春晚小品,https://www.goodiptv.club/yy/1382736720
都挺好-电视剧,https://www.goodiptv.club/yy/1382736892
炊事班的故事III,https://www.goodiptv.club/yy/1382736716
父母爱情,https://www.goodiptv.club/yy/1354926650
变形金刚,https://www.goodiptv.club/yy/1382736803
颜值永远在线,https://www.goodiptv.club/yy/1382851582
炊事班的故事II,https://www.goodiptv.club/yy/1382736885
【神雕侠侣】金庸经典,https://www.goodiptv.club/yy/1382704651
夏洛特烦恼-国内电影-喜剧,https://www.goodiptv.club/yy/1354936201
风筝,https://www.goodiptv.club/yy/1382828770
天道-9.2高分好剧,https://www.goodiptv.club/yy/1382735574
热血抗日电影,https://www.goodiptv.club/yy/1382749907
宋小宝春晚小品合集,https://www.goodiptv.club/yy/1382736866
寻秦记-穿越剧经典,https://www.goodiptv.club/yy/1382749900
震撼！国内功夫大片,https://www.goodiptv.club/yy/1382736902
血色浪漫,https://www.goodiptv.club/yy/1354926676
港片电影,https://www.goodiptv.club/yy/33897188
华子系列,https://www.goodiptv.club/yy/1354888726
同桌的你,https://www.goodiptv.club/yy/1382851477
经典港片电影,https://www.goodiptv.club/yy/1382793140
古惑仔全集,https://www.goodiptv.club/yy/1353426319
鹿鼎记-高清全集,https://www.goodiptv.club/yy/1382704650
西沙海底墓盗幕笔记,https://www.goodiptv.club/yy/1355171357
倚天屠龙记,https://www.goodiptv.club/yy/33300793
精彩玄幻电影,https://www.goodiptv.club/yy/1382688400
【动漫】斗罗斗破超清全屏,https://www.goodiptv.club/yy/28796627
香港经典蓝光电影,https://www.goodiptv.club/yy/1382627144
【经典港片】佟瑶,https://www.goodiptv.club/yy/23531261
2024盗幕鬼怪,https://www.goodiptv.club/yy/1355171231
【电影】超然巨作,https://www.goodiptv.club/yy/29170933
三国演义,https://www.goodiptv.club/yy/32788000
纪晓岚,https://www.goodiptv.club/yy/22982216
绝版鬼片电影,https://www.goodiptv.club/yy/1382743247
破案港剧,https://www.goodiptv.club/yy/1350670730
斗罗斗破精彩动漫,https://www.goodiptv.club/yy/1507304388
24小时陪你看,https://www.goodiptv.club/yy/1331686180
【电影】顶级动作电影,https://www.goodiptv.club/yy/24923327
【动漫】斗罗斗破超清全屏,https://www.goodiptv.club/yy/1382689904
国漫动漫,https://www.goodiptv.club/yy/1354768828
开饭了大熊猫,https://www.goodiptv.club/yy/1382741641
盗暮惊悚妖魔,https://www.goodiptv.club/yy/1382765507
《武林外传》武侠,https://www.goodiptv.club/yy/1394000563
战狼7吴京退役,https://www.goodiptv.club/yy/1382773714
探案！探案！,https://www.goodiptv.club/yy/1382829413
经典动漫,https://www.goodiptv.club/yy/24180320
【电影】超然巨作,https://www.goodiptv.club/yy/26623173
【没病走两步】,https://www.goodiptv.club/yy/1382851464
公主陪看老酒馆,https://www.goodiptv.club/yy/1356254650
神雕侠侣,https://www.goodiptv.club/yy/1460913377
新主播，求照顾,https://www.goodiptv.club/yy/1382690406
彭禺厶鬼怪奇幻系列电影,https://www.goodiptv.club/yy/1355249116
影视剧场,https://www.goodiptv.club/yy/1355260855
少年包青天,https://www.goodiptv.club/yy/1382701828
【科幻】超炫特效,https://www.goodiptv.club/yy/37988782
24小时循环播电视剧,https://www.goodiptv.club/yy/53320802
【电视剧】天下第一,https://www.goodiptv.club/yy/1354780649
M恐怖片正在直播,https://www.goodiptv.club/yy/1352956876
【陪你看】金刚葫芦娃,https://www.goodiptv.club/yy/1353323999
少年包青天三,https://www.goodiptv.club/yy/61318527
笑声传奇,https://www.goodiptv.club/yy/1382736880
放羊的星星,https://www.goodiptv.club/yy/1355260662
24H地下交通站全,https://www.goodiptv.club/yy/37880083
奇领 铁山靠【Y 正在直播,https://www.goodiptv.club/yy/41584371
【周星驰】搞笑电影,https://www.goodiptv.club/yy/38670875
国内喜剧,https://www.goodiptv.club/yy/1382735563
你最爱的宋小宝,https://www.goodiptv.club/yy/1354936198
飞哥全集乐乐陪看】,https://www.goodiptv.club/yy/1352946111
爆笑小品,https://www.goodiptv.club/yy/1354931503
欧美惊悚,https://www.goodiptv.club/yy/1382656234
动漫奥斯卡正在直播,https://www.goodiptv.club/yy/1382626335
动漫,https://www.goodiptv.club/yy/26664495
经典电视剧联播,https://www.goodiptv.club/yy/1356338181
动漫,https://www.goodiptv.club/yy/1382747970
【电视剧】士兵突击,https://www.goodiptv.club/yy/22852190
士兵突击电视剧,https://www.goodiptv.club/yy/1456622512
燃爆动作片,https://www.goodiptv.club/yy/1382736801
神探狄仁杰1,https://www.goodiptv.club/yy/1382851575
野山鹰-影视剧,https://www.goodiptv.club/yy/1354932395
欢乐集结号,https://www.goodiptv.club/yy/1354931582
神探狄仁杰2,https://www.goodiptv.club/yy/1382851146
天下第一,https://www.goodiptv.club/yy/1382736838
小宝让你乐翻天：6到9集,https://www.goodiptv.club/yy/1354930971
父母爱情,https://www.goodiptv.club/yy/1382746276
魔幻手机,https://www.goodiptv.club/yy/1382851541
小兵张嘎,https://www.goodiptv.club/yy/1354930225
我的体育老师,https://www.goodiptv.club/yy/1382745169
欢乐颂,https://www.goodiptv.club/yy/1382851577
小惠_郭德纲相声迷,https://www.goodiptv.club/yy/1382851593
武林外传,https://www.goodiptv.club/yy/1454629602
萌萌爱追剧,https://www.goodiptv.club/yy/1382745093
小敏,https://www.goodiptv.club/yy/1382736890
成龙系列,https://www.goodiptv.club/yy/1354888751
速度与激情系列！-精彩大片,https://www.goodiptv.club/yy/1382736911
经典抗日电影,https://www.goodiptv.club/yy/1354936141
读心神探,https://www.goodiptv.club/yy/1382736875
神探狄仁杰1,https://www.goodiptv.club/yy/1354930934
纯纯纯儿,https://www.goodiptv.club/yy/1382851589
时光的海,https://www.goodiptv.club/yy/1382851579
情满四合院,https://www.goodiptv.club/yy/1382736848
亲爱的热爱的,https://www.goodiptv.club/yy/1354932433
红楼梦1987经典版,https://www.goodiptv.club/yy/1382745084
西游记后传 蓝光,https://www.goodiptv.club/yy/1353392400
心中的白月光,https://www.goodiptv.club/yy/1382851580
最可爱的人,https://www.goodiptv.club/yy/1354585554
毒液：致命守护者,https://www.goodiptv.club/yy/1382745095
大汉贤后卫子夫,https://www.goodiptv.club/yy/1382735569
潘磕惺康谝患 -国产喜剧,https://www.goodiptv.club/yy/1382741637
士兵突击,https://www.goodiptv.club/yy/1382828766
密子君,https://www.goodiptv.club/yy/1382736717
花儿开心吧,https://www.goodiptv.club/yy/1354930984
一分钟学道菜,https://www.goodiptv.club/yy/1382736901
雪儿动漫,https://www.goodiptv.club/yy/1354143938
胡歌24小时播放,https://www.goodiptv.club/yy/1354555195
金婚,https://www.goodiptv.club/yy/1382736832
【天龙八部】蓝光超清,https://www.goodiptv.club/yy/28996058
全职高手,https://www.goodiptv.club/yy/26870427
勇敢的心,https://www.goodiptv.club/yy/1354744544
欢乐颂,https://www.goodiptv.club/yy/1382735624
【动漫】斗罗斗破,https://www.goodiptv.club/yy/35742228
港片鬼片老电影,https://www.goodiptv.club/yy/1355269576
雯子：鹿鼎记  寻秦记,https://www.goodiptv.club/yy/1456829119
新白娘子传奇4K高清观看,https://www.goodiptv.club/yy/1508902755
【神探狄仁杰】,https://www.goodiptv.club/yy/66821259
火炬手,https://www.goodiptv.club/yy/1382851618
距离你200米,https://www.goodiptv.club/yy/1354887062
【新三国】吕布,https://www.goodiptv.club/yy/1382851459
笑傲帮,https://www.goodiptv.club/yy/1382735555
军旅剧（回忆经典）,https://www.goodiptv.club/yy/1356306672
法证先锋,https://www.goodiptv.club/yy/1354930939
斗罗斗破,https://www.goodiptv.club/yy/1354768831
【新三国】,https://www.goodiptv.club/yy/1382851415
言情古装剧 正在直播,https://www.goodiptv.club/yy/67857780
逋鞠盗 -国产喜剧,https://www.goodiptv.club/yy/1382736856
彭禺厶鬼怪奇幻系列电影,https://www.goodiptv.club/yy/1353200190
笑傲江湖,https://www.goodiptv.club/yy/1352833750
神探狄仁杰1—5部全集,https://www.goodiptv.club/yy/1382705592
的直播间,https://www.goodiptv.club/yy/1354129442
【新三国】日版,https://www.goodiptv.club/yy/1382851457
战狼10086,https://www.goodiptv.club/yy/1382773686
动漫,https://www.goodiptv.club/yy/1382788679
绝版电影 3000部,https://www.goodiptv.club/yy/1355263385
枕上书正在直播,https://www.goodiptv.club/yy/1351844200
鬼片恐怖私家影院,https://www.goodiptv.club/yy/1354209316
金玉满堂：精彩港剧,https://www.goodiptv.club/yy/1382736881
进来 陪你看电视,https://www.goodiptv.club/yy/1353518742
案发现场全集,https://www.goodiptv.club/yy/1354775242
赌神-发哥,https://www.goodiptv.club/yy/1354889044
魔幻手机,https://www.goodiptv.club/yy/1382735544
欢乐一起看,https://www.goodiptv.club/yy/1354930926
院线动作大片,https://www.goodiptv.club/yy/1382736900
宝莲灯前传,https://www.goodiptv.club/yy/1354931631
仙剑奇侠传-神仙姐姐驾到,https://www.goodiptv.club/yy/1382749903
速度与激情全集,https://www.goodiptv.club/yy/1382749892
双月之城-国漫,https://www.goodiptv.club/yy/1382736907
木乃伊全集,https://www.goodiptv.club/yy/1354889024
金星脱口秀：我敢说你敢听吗,https://www.goodiptv.club/yy/1382735552
经典动作电影,https://www.goodiptv.club/yy/1370293254
动物世界,https://www.goodiptv.club/yy/1382749889
洪金宝福星系列,https://www.goodiptv.club/yy/1354924839
叶问全集,https://www.goodiptv.club/yy/1382828771
超燃科幻大片：明日边缘,https://www.goodiptv.club/yy/1382736835
法证先锋2,https://www.goodiptv.club/yy/1382736870
聊斋志异S1,https://www.goodiptv.club/yy/1382736975
今夜欢乐颂,https://www.goodiptv.club/yy/1382735572
科幻片：来看神奇的地球,https://www.goodiptv.club/yy/1354930897
法证先锋Ⅱ,https://www.goodiptv.club/yy/1354888736
三国演义【1994】,https://www.goodiptv.club/yy/1354930932
欢乐集结号,https://www.goodiptv.club/yy/1382735550
国产大片电影,https://www.goodiptv.club/yy/1354926655
大话西游至尊宝,https://www.goodiptv.club/yy/1382736910
漫威超级英雄系列,https://www.goodiptv.club/yy/1354932402
暖暖1999,https://www.goodiptv.club/yy/1382851591
第一滴血全集,https://www.goodiptv.club/yy/1354932355
热血战争巨作,https://www.goodiptv.club/yy/1382745087
动物世界-领略原始野性,https://www.goodiptv.club/yy/1382743138
热门喜剧,https://www.goodiptv.club/yy/1354931495
你是最美的风景,https://www.goodiptv.club/yy/1382851599
非诚勿扰,https://www.goodiptv.club/yy/1382735583
超精彩！系列动作电影,https://www.goodiptv.club/yy/1382745096
易中天品三国,https://www.goodiptv.club/yy/1354931498
张国荣与周润发的兄弟情,https://www.goodiptv.club/yy/1354930961
许多多,https://www.goodiptv.club/yy/1382851583
大进军全集：红色系列电影,https://www.goodiptv.club/yy/1382745083
了不起的萝莉小玲,https://www.goodiptv.club/yy/1382736799
国内经典动作电影,https://www.goodiptv.club/yy/1382851522
国外高分大片,https://www.goodiptv.club/yy/1382736867
熊出没之探险日记S1-国漫,https://www.goodiptv.club/yy/1354930977
炊事班的故事,https://www.goodiptv.club/yy/1382749901
晨晨的影视小窝,https://www.goodiptv.club/yy/1382851576
Blingbling,https://www.goodiptv.club/yy/1382851598
士兵突击,https://www.goodiptv.club/yy/1382851600
探秘中华美食,https://www.goodiptv.club/yy/1354930954
末日系列-外国电影合集,https://www.goodiptv.club/yy/1354889019
深夜惊悚大片,https://www.goodiptv.club/yy/1382745110
热血动作电影,https://www.goodiptv.club/yy/1382736804
活力满满,https://www.goodiptv.club/yy/1382851585
以家人之名,https://www.goodiptv.club/yy/1382736908
我的前半生,https://www.goodiptv.club/yy/1382735564
战争大片-国外电影,https://www.goodiptv.club/yy/1382736857
人生必看的科幻片,https://www.goodiptv.club/yy/1382745114
天龙八部,https://www.goodiptv.club/yy/1382749944
美国队长史蒂夫,https://www.goodiptv.club/yy/1382736813
高分科幻动作片,https://www.goodiptv.club/yy/1382749948
情满四合院,https://www.goodiptv.club/yy/1382736888
非诚勿扰,https://www.goodiptv.club/yy/1382745106
欢天喜地七仙女,https://www.goodiptv.club/yy/1382735553
高分动作大片-热血出击,https://www.goodiptv.club/yy/1382736909
黑衣人1、2—动作喜剧大片,https://www.goodiptv.club/yy/1354930936
金三角大营救,https://www.goodiptv.club/yy/1354930924
恋歌,https://www.goodiptv.club/yy/1382851594
非诚勿扰,https://www.goodiptv.club/yy/1382745100
欢乐集结号2,https://www.goodiptv.club/yy/1354930919
本山快乐营,https://www.goodiptv.club/yy/1354933529
少年包青天第三部,https://www.goodiptv.club/yy/1382851540
国产喜剧,https://www.goodiptv.club/yy/1382735584
超英集结,https://www.goodiptv.club/yy/1382745091
深海利剑,https://www.goodiptv.club/yy/1382736906
施公奇案1-欧阳震华,https://www.goodiptv.club/yy/1382749918
叛逆者,https://www.goodiptv.club/yy/1382736868
穿越时空的爱恋,https://www.goodiptv.club/yy/1382735567
上海滩,https://www.goodiptv.club/yy/1382745184
精彩动作电影享不停,https://www.goodiptv.club/yy/1382736809
康熙王朝,https://www.goodiptv.club/yy/1382736818
小欢喜,https://www.goodiptv.club/yy/1382737888
【电影】顶级动作电影,https://live.metshop.top/yy/24923327
动漫,https://live.metshop.top/yy/1382747970
野山鹰-影视剧,https://live.metshop.top/yy/1354932395
彭禺厶鬼怪奇幻系列电影,https://live.metshop.top/yy/1355249116
风吹半夏,https://live.metshop.top/yy/1354806550
新主播，求照顾,https://live.metshop.top/yy/1382690406
法证先锋Ⅱ,https://live.metshop.top/yy/1354888736
(周星驰)超经典搞笑电影,https://live.metshop.top/yy/29945997
案发现场全集,https://live.metshop.top/yy/1354775242
我的前半生,https://live.metshop.top/yy/1382735564
宝莲灯前传,https://live.metshop.top/yy/1354931631
灌篮高手 正在直播,https://live.metshop.top/yy/1351417866
枕上书正在直播,https://live.metshop.top/yy/1351844200
三国演义【1994】,https://live.metshop.top/yy/1354930932
三国演义,https://live.metshop.top/yy/32788000
中国味道 第4季-美食纪录片,https://live.metshop.top/yy/1382736845
金婚,https://live.metshop.top/yy/1382736832
【玄幻电影】,https://live.metshop.top/yy/1355065896
【动漫】斗罗斗破超清全屏,https://live.metshop.top/yy/1382689904
你最爱的宋小宝,https://live.metshop.top/yy/1354936198
24小时小雅陪你看,https://live.metshop.top/yy/1331686180
战狼7吴京退役,https://live.metshop.top/yy/1382773714
福贵,https://live.metshop.top/yy/1354926537
欢乐集结号,https://live.metshop.top/yy/1354931582
影视剧场,https://live.metshop.top/yy/1355260855
最美的青春,https://live.metshop.top/yy/1382745116
热血抗日电影,https://live.metshop.top/yy/1382749907
易中天品三国,https://live.metshop.top/yy/1354931498
新世界,https://live.metshop.top/yy/1382736850
欢乐一起看,https://live.metshop.top/yy/1354930926
欢乐集结号3,https://live.metshop.top/yy/1382736822
怀旧小品,https://live.metshop.top/yy/1382736821
最后的狮子-探险纪录片,https://live.metshop.top/yy/1382735577
外国科幻大片,https://live.metshop.top/yy/1382747628
缉妖法海传-国内电影,https://live.metshop.top/yy/1354936203
法证先锋Ⅲ,https://live.metshop.top/yy/1382736802
聪明的顺溜之雄鹰小子S1-国漫,https://live.metshop.top/yy/1382736902
笑傲江湖-电视剧,https://live.metshop.top/yy/1354936128
战狼3  吴京主演,https://live.metshop.top/yy/1451866697
开心麻花街,https://live.metshop.top/yy/1354926643
热播喜剧,https://live.metshop.top/yy/1354936169
花儿开心吧-小品,https://live.metshop.top/yy/1382736917
非诚勿扰,https://live.metshop.top/yy/1382745106
福星高照㊣代,https://pull.kktv8.com/livekktv/99592190.flv
鸿运当头㊣代,https://pull.kktv8.com/livekktv/99350550.flv
开端电视轮播,http://cfss.cc/cdn/hy/11342397.m3u8
粤剧白蛇传情,http://cfss.cc/cdn/hy/19743437.m3u8
4K超清播电影,http://imzbpfrp.zzmd.fun:8888/rtp/239.3.1.249:8001
雪中悍刀行剧,http://cfss.cc/cdn/hy/11336592.m3u8
脱口秀大会播,http://cfss.cc/cdn/hy/11352875.m3u8
西游记后传,https://live.metshop.top/yy/1353392400
神雕侠侣,https://live.metshop.top/yy/1351762426
射雕英雄传,https://live.metshop.top/yy/40959929
倚天屠龙记,https://live.metshop.top/yy/1449856066
天龙八部,https://live.metshop.top/yy/1351814644
笑傲江湖,https://live.metshop.top/yy/1354936128
鹿鼎记,https://live.metshop.top/yy/28265277
寻秦记,https://live.metshop.top/yy/1382749900
封神榜,https://live.metshop.top/yy/1353426319
新白娘子传奇,https://live.metshop.top/yy/1354490667
新白娘子传奇-修复版,https://live.metshop.top/yy/1354930969
钟馗传说,https://live.metshop.top/yy/1382736839
红楼梦,https://live.metshop.top/yy/1382745084
三国演义,https://live.metshop.top/yy/1354936241
少年包青天,https://live.metshop.top/yy/38498680
宰相刘罗锅,https://live.metshop.top/yy/1353892468
雍正王朝,https://live.metshop.top/yy/23206872
陈情令,https://live.metshop.top/yy/1382745121
知否知否应是绿肥红瘦,https://live.metshop.top/yy/21881901
仙剑奇侠传,https://live.metshop.top/yy/1382749903
金装四大才子,https://live.metshop.top/yy/1354926600
公主嫁到,https://live.metshop.top/yy/1382736915
耀舞长安,https://live.metshop.top/yy/1382741640
上海滩,https://live.metshop.top/yy/1382745184
大时代,https://live.metshop.top/yy/1354930891
法证先锋,https://live.metshop.top/yy/1354930965
陀枪师姐,https://live.metshop.top/yy/1382688521
飞虎之潜行极战,https://live.metshop.top/yy/1354932420
放羊的星星,https://live.metshop.top/yy/1355260662
天道,https://live.metshop.top/yy/1382735574
安家,https://live.metshop.top/yy/12086226
欢乐颂,https://live.metshop.top/yy/1382735624
平凡岁月,https://live.metshop.top/yy/1382745117
苦乐村官,https://live.metshop.top/yy/1382736864
金星脱口秀,https://live.metshop.top/yy/1354932407
航拍中国第1季,https://live.metshop.top/yy/1354936136
AKTV,#genre#
中天新聞台,http://aktv.top/AKTV/live/aktv/null-8/AKTV.m3u8
翡翠台,http://aktv.top/AKTV/live/aktv/null/AKTV.m3u8
TVBS-新聞台,http://aktv.top/AKTV/live/aktv/tvbs-1/AKTV.m3u8
寰宇新聞台,http://aktv.top/AKTV/live/aktv/null-9/AKTV.m3u8
鳳凰中文,http://aktv.top/AKTV/live/aktv/null-3/AKTV.m3u8
TVBS,http://aktv.top/AKTV/live/aktv/tvbs/AKTV.m3u8
无线新闻台(北美),http://aktv.top/AKTV/live/aktv2/null-1/AKTV.m3u8
鳳凰資訊,http://aktv.top/AKTV/live/aktv/null-4/AKTV.m3u8
無線新聞台,http://aktv.top/AKTV/live/aktv/null-1/AKTV.m3u8
美亞電影台(HK),http://aktv.top/AKTV/live/aktv/hk-1/AKTV.m3u8
明珠台,http://aktv.top/AKTV/live/aktv/null-2/AKTV.m3u8
東森新聞,http://aktv.top/AKTV/live/aktv2/null/AKTV.m3u8
鳳凰香港,http://aktv.top/AKTV/live/aktv/null-5/AKTV.m3u8
TVB Plus,http://aktv.top/AKTV/live/aktv/tvbplus/AKTV.m3u8
中天亞洲台,http://aktv.top/AKTV/live/aktv/null-12/AKTV.m3u8
翡翠综合台(北美),http://aktv.top/AKTV/live/aktv/null-17/AKTV.m3u8
千禧經典台(HK),http://aktv.top/AKTV/live/aktv/null-15/AKTV.m3u8
翡翠剧集台(北美),http://aktv.top/AKTV/live/aktv/null-18/AKTV.m3u8
娛樂新聞台(HK),http://aktv.top/AKTV/live/aktv/hk/AKTV.m3u8
PopC,http://aktv.top/AKTV/live/aktv/popc/AKTV.m3u8
黃金翡翠台,http://aktv.top/AKTV/live/aktv/null-21/AKTV.m3u8
myTV SUPER 18台,http://aktv.top/AKTV/live/aktv/mytvsuper18/AKTV.m3u8
中視,http://aktv.top/AKTV/live/aktv/null-10/AKTV.m3u8
明珠剧集台(北美),http://aktv.top/AKTV/live/aktv/null-19/AKTV.m3u8
Channel 8 HD,http://aktv.top/AKTV/live/aktv/channel8hd/AKTV.m3u8
